step,episode,action_0_max_inflight_messages,action_1_max_inflight_bytes,action_2_max_queued_messages,action_3_max_queued_bytes,action_4_queue_qos0_messages,action_5_memory_limit,action_6_persistence,action_7_autosave_interval,action_8_set_tcp_nodelay,action_9_max_packet_size,action_10_message_size_limit,decoded_max_inflight_messages,decoded_max_inflight_bytes,decoded_max_queued_messages,decoded_max_queued_bytes,decoded_queue_qos0_messages,decoded_memory_limit,decoded_persistence,decoded_autosave_interval,decoded_set_tcp_nodelay,decoded_max_packet_size,decoded_message_size_limit,sys_clients_connected,sys_msgs_received_1min,sys_msgs_received_1min_per_sec,sys_msgs_received_total,sys_msgs_received_rate,throughput,reward,latency_source,latency_probe_connected,latency_probe_samples,latency_probe_min,latency_probe_max
1,2,0.8896980285644531,0.35186702013015747,0.031186938285827637,0.1381327211856842,0.36553043127059937,0.9037773609161377,0.7097770571708679,0.8671724200248718,0.3242049217224121,0.25981080532073975,0.849503219127655,1780,23592960,600,18874368,False,3892314112,True,3120,False,2723840,8907776,111.0,650410.04,10840.167333333335,1014131.0,,1.0840166807174683,-2.5189542488525953,static,False,0,0.0,0.0
2,2,0.28390979766845703,0.614942193031311,0.8527556657791138,0.7939949631690979,0.46525323390960693,0.5743017196655273,0.5621428489685059,0.16706928610801697,0.6143368482589722,0.5265607833862305,0.4998268783092499,570,41156608,17100,106954752,False,2483027968,True,600,True,5521408,5240832,111.0,1092220.64,18203.677333333333,1719857.0,,1.820367693901062,-0.9390717001341389,static,False,0,0.0,0.0
3,2,0.6434425711631775,0.5225852727890015,0.620785117149353,0.6943234801292419,0.35980042815208435,0.23630622029304504,0.7551196813583374,0.37150105834007263,0.6581857204437256,0.5368836522102356,0.06080746650695801,1290,35127296,12400,93323264,False,1006632960,True,1320,True,5629952,637952,111.0,779948.62,12999.143666666667,1231477.0,,1.2999143600463867,-1.8791630850742738,static,False,0,0.0,0.0
4,2,0.3459034562110901,0.5021481513977051,0.6423914432525635,0.589938759803772,0.1737358272075653,0.41877463459968567,0.12305355072021484,0.3100636601448059,0.9289854168891907,0.6020240187644958,0.47545674443244934,690,33816576,12800,79691776,False,1811939328,False,1140,True,6312960,4985856,111.0,1062867.6,17714.460000000003,1680692.0,,1.7714459896087646,-1.123518345317032,static,False,0,0.0,0.0
5,2,0.2121707797050476,0.17204508185386658,0.8681802749633789,0.595375657081604,0.9061861038208008,0.2900397479534149,0.9688007831573486,0.5124990940093994,0.7061436176300049,0.719517707824707,0.5390552282333374,420,11534336,17400,79691776,True,1275068416,True,1860,True,7544832,5652480,111.0,1216876.02,20281.267,1891615.0,,2.0281267166137695,-1.1729413117478618,static,False,0,0.0,0.0
6,2,0.4174342453479767,0.39012229442596436,0.3771814703941345,0.5370455384254456,0.7786930799484253,0.16565632820129395,0.6142546534538269,0.8426045179367065,0.6417745351791382,0.37484127283096313,0.059765785932540894,840,26214400,7500,72351744,True,738197504,True,3060,True,3930112,626688,111.0,942871.44,15714.524,1494335.0,,1.5714523792266846,-1.3935130082043325,static,False,0,0.0,0.0
7,2,0.3878043293952942,0.8542048335075378,0.4517713785171509,0.5438454747200012,0.4830377995967865,0.4116660952568054,0.5689690709114075,0.6820149421691895,0.8140274286270142,0.39001357555389404,0.3296355903148651,780,57409536,9000,73400320,False,1744830464,True,2460,True,4089856,3456000,111.0,1069052.47,17817.541166666666,1682034.0,,1.7817541360855103,-1.0506369733283543,static,False,0,0.0,0.0
8,2,0.11158701777458191,0.0,0.3666953444480896,0.24513927102088928,0.996700644493103,0.3920357823371887,0.13235506415367126,0.25478723645210266,0.4580502212047577,0.3072434365749359,0.44205358624458313,220,unlimited,7300,32505856,True,1677721600,False,900,False,3221504,4635648,111.0,1358640.18,22644.003,2159365.0,,2.2644002437591553,-0.6234887033961688,static,False,0,0.0,0.0
9,2,0.08610802888870239,0.5512223839759827,0.8643043041229248,0.821922779083252,0.0,0.10032519698143005,0.7237350940704346,0.47942838072776794,0.4353349804878235,0.5563084483146667,0.41873443126678467,170,36962304,17300,110100480,False,402653184,True,1740,False,5833728,4390912,111.0,1420032.36,23667.206000000002,2194565.0,,2.366720676422119,-0.6547646629435129,static,False,0,0.0,0.0
